id;tracking_no;moba_id;number_plate;stock;status;created_date;created_by;last_modified;comment;last_modified_by
1;Architect;36934;Solutions;63060;RECEIVED;2022-02-14T06:23:54;Gorgeous Greens;2022-02-14T15:53:33;Unbranded;Universal connect parse
2;Balboa Bedfordshire Soap;11876;infomediaries Self-enabling;2218;OPEN;2022-02-15T04:08:30;technologies Brunei Executive;2022-02-15T01:57:32;Cross-group;Samoa Handmade open-source
3;Loan Grocery;80991;Public-key;2124;TRANSIT;2022-02-14T12:01:38;card Buckinghamshire Nebraska;2022-02-14T12:05:21;Tala Polarised Practical;deliver
4;Illinois Rubber transparent;90324;tan time-frame;80877;OPEN;2022-02-14T16:55:05;Alabama Summit;2022-02-14T07:15:52;Table Alaska;firewall indexing policy
5;bandwidth;60700;quantifying Administrator Car;17459;TRANSIT;2022-02-15T02:51:52;Games Internal architect;2022-02-14T15:45:25;copying;Rapids
6;program recontextualize productivity;36557;virtual Functionality African;80787;OPEN;2022-02-14T19:13:36;Checking Optimized Functionality;2022-02-14T16:42:38;navigate Product Drive;lavender Berkshire
7;Kids green;78760;mint Lao;81478;OPEN;2022-02-15T00:44:27;Granite 24;2022-02-14T11:25:49;Incredible Mexico;context-sensitive
8;Lead Books;2848;Assurance Yen green;7819;CANCELLED;2022-02-14T15:52:14;Dominica;2022-02-14T12:04:40;Account;Baby Salad Guarani
9;intermediate holistic;82327;Shirt reboot;72411;CANCELLED;2022-02-14T14:42:33;Account synthesizing boliviano;2022-02-14T08:16:10;Home;circuit input invoice
10;Web efficient mobile;74513;array Refined leverage;64204;RECEIVED;2022-02-14T13:59:13;well-modulated multi-byte Research;2022-02-14T10:44:52;Programmable Handcrafted Tactics;24/7 Delaware Manager
